# Copyright 2022 The Chromium OS Authors. All rights reserved.
# Use of this source code is governed by a BSD-style license that can be
# found in the LICENSE file.

Rail,Parent
PPVAR_PCORE_IN,PPVAR_SYS
PPVAR_PCORE_SOC_IN,PPVAR_SYS
PPVAR_VDDCR_SOC_S0,PPVAR_PCORE_SOC_IN
PP3300_CAM_X,PP3300_Z1
PP1050_CORE_HUB,PP3300_S5
PPVAR_VDDCR_S0_PH1,PPVAR_PCORE_IN
PPVAR_VDDCR_S0_PH2,PPVAR_PCORE_IN
PP3300_S5_VDD_33_S5,PP3300_S5
PP3300_S0_VDD_33,PP3300_S0
PP1800_S5_VDD_18_S5,PP1800_S5
PP1800_S0_VDD_18,PP1800_S0
PP1800_C0_RETIMER_S5,PP1800_S5
PP1800_S5_VDDIO_AUDIO,PP1800_S5
PP0750_VDD_MISC_S0,PPVAR_SYS
PP0750_VDD_MISC_S5,PPVAR_SYS
PP1100_S0,PPVAR_SYS
PP1050_MEM_VDD2L_S3,PPVAR_SYS
PP1800_MEM_S3,PP1800_Z1
PP0500_MEM_S3,PP3300_Z1
PP3300_EC_Z1,PP3300_Z1
PP1800_Z1,PPVAR_SYS
PP3300_Z1,PPVAR_SYS
PP3300_S0,PP3300_Z1
PP3300_GSC_Z1,PP3300_Z1
PP1800_GSC_Z1,PP1800_Z1
PP5000_S5,PPVAR_SYS
PP5000_KB_BL_S5,PP5000_S5
PP3300_DISP_X,PP3300_Z1
PPVAR_BL_PWR,PPVAR_SYS
PP3300_WWAN_X,PPVAR_SYS
PP3300_WLAN_X,PP3300_Z1
PP1800_S0,PP1800_Z1
PP1800_EC_Z1,PP1800_Z1
PP1800_CPLD_Z1,PP1800_Z1
PP3300_S5,PP3300_Z1
PP1800_S5,PP3300_Z1
PP3300_SD_S0,PP3300_S0
PP3300_SSD_S0,PP3300_S0
PP3300_Z5,PPVAR_SYS
PPVAR_SYS_DB,PPVAR_SYS
PPVAR_SYS,NA
PPVAR_BAT,NA
PPVAR_VBUS_IN,NA
PP0750_VDD_MEM_S0,PPVAR_SYS
PP5000_S5_DB,PPVAR_SYS_DB
PP3300_S5_X_DB,PP3300_S5_DB
PP1200_S5_DB,PP5000_S5_DB

